               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12076,            0.035947,            0.027585,            0.018049,            0.035714,           0.0044863,           0.0013134,             0.11645,            0.026135,            0.026155,             0.00025,             0.00025,             0.09775
                   1,             0.11434,            0.035894,            0.026177,            0.014734,              0.1009,           0.0073854,            0.001153,             0.11173,            0.026043,            0.023692,          0.00050989,          0.00050989,             0.09541
                   2,              0.1083,            0.036377,            0.024315,            0.084702,             0.10714,            0.045317,           0.0094397,             0.10939,            0.024635,            0.021311,          0.00076932,          0.00076932,            0.093069
                   3,             0.10093,            0.034107,            0.021753,             0.07955,             0.28571,            0.086127,            0.021465,             0.10467,            0.023992,             0.01817,           0.0010279,           0.0010279,            0.090728
                   4,            0.096937,             0.03432,            0.019916,             0.67283,             0.21429,             0.14759,            0.031675,             0.10181,            0.022905,            0.015352,           0.0012854,           0.0012854,            0.088385
                   5,            0.091948,            0.035116,            0.017588,             0.65555,             0.42857,             0.20025,            0.055485,            0.098512,            0.021688,            0.011789,           0.0015414,           0.0015414,            0.086041
                   6,            0.090165,            0.035237,            0.015972,             0.79269,             0.32143,             0.32928,            0.085452,               0.097,            0.019863,           0.0091203,           0.0017956,           0.0017956,            0.083696
                   7,            0.087001,            0.034234,            0.013363,             0.78531,             0.42724,             0.37121,             0.11662,            0.094944,            0.018817,           0.0070318,           0.0020476,           0.0020476,            0.081348
                   8,            0.082872,            0.033426,            0.012036,             0.87441,             0.42857,             0.41607,             0.17005,            0.091709,            0.017407,           0.0052341,           0.0022971,           0.0022971,            0.078997
                   9,            0.082273,            0.031974,            0.010911,               0.874,             0.32143,             0.32514,            0.071401,            0.097749,            0.015611,           0.0047606,           0.0025437,           0.0025437,            0.076644
                  10,            0.081949,            0.032472,           0.0088637,             0.78512,             0.42659,              0.3858,             0.17792,            0.092057,            0.015869,           0.0042432,           0.0027872,           0.0027872,            0.074287
                  11,            0.080661,            0.029136,           0.0094017,             0.71113,             0.39286,             0.23897,             0.05971,            0.095758,            0.014793,           0.0039408,           0.0030273,           0.0030273,            0.071927
                  12,             0.08005,             0.03124,            0.006834,             0.89632,             0.28571,             0.31865,             0.13892,             0.08982,            0.015421,           0.0033381,           0.0032635,           0.0032635,            0.069564
                  13,            0.078634,            0.027711,           0.0072667,             0.79154,              0.4995,              0.3859,             0.12736,            0.092726,            0.013518,            0.003085,           0.0034957,           0.0034957,            0.067196
                  14,            0.073766,            0.027498,           0.0059409,             0.99983,             0.39286,             0.45839,             0.27298,            0.084241,            0.014268,           0.0026867,           0.0037234,           0.0037234,            0.064823
                  15,              0.0749,             0.02858,           0.0054331,             0.67073,                 0.5,             0.22727,            0.081583,             0.09677,            0.012213,           0.0023378,           0.0039465,           0.0039465,            0.062446
                  16,            0.077406,            0.028092,           0.0048831,              0.8123,             0.35714,             0.28792,            0.060061,            0.097497,            0.011917,           0.0021744,           0.0041645,           0.0041645,            0.060065
                  17,            0.077966,            0.027848,           0.0066094,             0.81248,              0.3571,             0.31093,            0.073867,            0.096702,            0.012707,           0.0027119,           0.0043773,           0.0043773,            0.057677
                  18,            0.073656,            0.025653,            0.005185,             0.95739,             0.39286,             0.46337,             0.19353,            0.098656,             0.01166,           0.0024239,           0.0045846,           0.0045846,            0.055285
                  19,            0.074386,            0.028128,           0.0045826,             0.96423,             0.46359,               0.485,             0.18124,             0.09711,            0.011069,           0.0018775,           0.0047861,           0.0047861,            0.052886
                  20,            0.074356,            0.026346,           0.0055712,                   1,              0.3923,             0.46146,              0.2415,            0.080136,            0.011935,           0.0019151,           0.0049816,           0.0049816,            0.050482
                  21,            0.070911,            0.025338,           0.0057286,             0.95829,             0.39243,             0.43818,             0.23659,            0.095164,            0.010393,           0.0022494,           0.0051708,           0.0051708,            0.048071
                  22,            0.076499,            0.023455,           0.0052488,             0.95832,             0.39271,             0.44865,             0.24313,            0.088639,            0.010361,           0.0020618,           0.0053535,           0.0053535,            0.045653
                  23,            0.069245,             0.02508,           0.0047156,                   1,             0.49993,             0.50739,             0.31666,            0.076127,            0.011376,           0.0020471,           0.0055294,           0.0055294,            0.043229
                  24,            0.073522,            0.023745,           0.0048165,             0.80536,             0.39226,             0.37308,             0.10411,            0.086051,            0.010817,           0.0020653,           0.0056985,           0.0056985,            0.040798
                  25,             0.07456,            0.022474,           0.0046477,             0.93955,             0.28571,             0.39435,            0.081287,             0.10281,           0.0087934,           0.0022622,           0.0058603,           0.0058603,             0.03836
                  26,            0.080038,            0.020291,           0.0043823,             0.79154,              0.4995,             0.34646,              0.1805,            0.086944,           0.0097823,           0.0019882,           0.0060149,           0.0060149,            0.035915
                  27,            0.069363,            0.022028,           0.0040706,             0.91647,             0.35714,             0.43548,             0.12356,            0.089429,           0.0099315,           0.0021644,            0.006162,            0.006162,            0.033462
                  28,            0.068636,            0.024545,           0.0049168,             0.90901,              0.3211,             0.39593,            0.085144,             0.09402,           0.0098593,           0.0019824,           0.0063014,           0.0063014,            0.031001
                  29,            0.070236,            0.023664,           0.0041583,              0.9583,             0.39286,             0.45972,             0.12243,            0.083303,            0.010336,           0.0024116,            0.006433,            0.006433,            0.028533
                  30,            0.062905,            0.022606,           0.0051734,             0.99979,             0.42857,             0.51122,             0.30911,             0.07967,            0.010288,           0.0022636,           0.0065568,           0.0065568,            0.026057
                  31,            0.061425,            0.021432,            0.004967,              0.3437,             0.39286,             0.36531,            0.067449,            0.093379,           0.0093161,           0.0022362,           0.0066724,           0.0066724,            0.023572
                  32,            0.071627,            0.020976,           0.0036712,             0.29388,             0.71251,               0.311,            0.094776,            0.092979,           0.0095288,           0.0020223,           0.0067799,           0.0067799,             0.02108
                  33,            0.071056,            0.024406,           0.0047792,             0.99295,             0.35714,             0.46298,             0.22724,            0.086641,           0.0086488,           0.0019362,           0.0068792,           0.0068792,            0.018579
                  34,            0.067612,            0.021347,            0.003685,             0.83237,             0.42857,             0.40654,             0.14833,             0.10079,           0.0074406,           0.0022948,           0.0069701,           0.0069701,             0.01607
                  35,             0.08167,            0.018199,           0.0044527,             0.88879,             0.49943,             0.44495,            0.076128,             0.10411,           0.0079462,           0.0030703,           0.0070527,           0.0070527,            0.013553
                  36,            0.079193,            0.021889,           0.0047975,                   1,             0.49907,             0.50819,              0.3293,            0.093288,           0.0095284,           0.0036028,           0.0071268,           0.0071268,            0.011027
                  37,            0.070068,            0.021981,           0.0043572,             0.45369,             0.57143,             0.51116,             0.28962,             0.08846,           0.0087792,           0.0029167,           0.0071924,           0.0071924,           0.0084924
